name,type,value,date
南亚大自然,南亚大自然,29986.50,2018-04-23
南亚大自然,南亚大自然,29986.50,2018-04-24
全景旅游,全景旅游,16292.00,2018-04-24
南亚大自然,南亚大自然,29986.50,2018-04-25
全景旅游,全景旅游,20490.00,2018-04-25
皇家UNIWAY,皇家UNIWAY,7524.00,2018-04-25
全景旅游,全景旅游,31392.00,2018-04-26
南亚大自然,南亚大自然,29986.50,2018-04-26
皇家UNIWAY,皇家UNIWAY,7524.00,2018-04-26
全景旅游,全景旅游,57998.00,2018-04-27
南亚大自然,南亚大自然,29986.50,2018-04-27
皇家UNIWAY,皇家UNIWAY,7524.00,2018-04-27
亲合力,亲合力,6494.40,2018-04-27
世达旅游,世达旅游,6053.46,2018-04-27
全景旅游,全景旅游,82441.00,2018-04-28
南亚大自然,南亚大自然,29986.50,2018-04-28
皇家UNIWAY,皇家UNIWAY,27794.00,2018-04-28
喜游国旅,喜游国旅,15144.03,2018-04-28
奇幻九州,奇幻九州,10780.00,2018-04-28
浓情之旅,浓情之旅,8917.02,2018-04-28
亲合力,亲合力,6494.40,2018-04-28
世达旅游,世达旅游,6053.46,2018-04-28
朋乐假期,朋乐假期,0.00,2018-04-28
全景旅游,全景旅游,92431.00,2018-04-29
皇家UNIWAY,皇家UNIWAY,59982.00,2018-04-29
南亚大自然,南亚大自然,29986.50,2018-04-29
奇幻九州,奇幻九州,21560.00,2018-04-29
喜游国旅,喜游国旅,15144.03,2018-04-29
浓情之旅,浓情之旅,8917.02,2018-04-29
同盛亚洲,同盛亚洲,7425.00,2018-04-29
阳光旅游,阳光旅游,6778.04,2018-04-29
亲合力,亲合力,6494.40,2018-04-29
世达旅游,世达旅游,6053.46,2018-04-29
全景旅游,全景旅游,111607.00,2018-04-30
皇家UNIWAY,皇家UNIWAY,65328.00,2018-04-30
奇幻九州,奇幻九州,42140.00,2018-04-30
南亚大自然,南亚大自然,29986.50,2018-04-30
畅享假期,畅享假期,16852.00,2018-04-30
喜游国旅,喜游国旅,15144.03,2018-04-30
浓情之旅,浓情之旅,8917.02,2018-04-30
中华龙国旅,中华龙国旅,7879.20,2018-04-30
同盛亚洲,同盛亚洲,7425.00,2018-04-30
阳光旅游,阳光旅游,6778.04,2018-04-30
全景旅游,全景旅游,166075.00,2018-05-01
皇家UNIWAY,皇家UNIWAY,74191.03,2018-05-01
奇幻九州,奇幻九州,50960.00,2018-05-01
五洲行,五洲行,43084.80,2018-05-01
南亚大自然,南亚大自然,29986.50,2018-05-01
畅享假期,畅享假期,16852.00,2018-05-01
俄之旅,俄之旅,15836.04,2018-05-01
喜游国旅,喜游国旅,15144.03,2018-05-01
浓情之旅,浓情之旅,8917.02,2018-05-01
中华龙国旅,中华龙国旅,7879.20,2018-05-01
全景旅游,全景旅游,180991.00,2018-05-02
皇家UNIWAY,皇家UNIWAY,74191.03,2018-05-02
朋乐假期,朋乐假期,69018.32,2018-05-02
奇幻九州,奇幻九州,65856.00,2018-05-02
五洲行,五洲行,43084.80,2018-05-02
南亚大自然,南亚大自然,29986.50,2018-05-02
九州风行,九州风行,27719.01,2018-05-02
畅享假期,畅享假期,16852.00,2018-05-02
俄之旅,俄之旅,15836.04,2018-05-02
喜游国旅,喜游国旅,15144.03,2018-05-02
全景旅游,全景旅游,225698.00,2018-05-03
奇幻九州,奇幻九州,90160.00,2018-05-03
皇家UNIWAY,皇家UNIWAY,74191.03,2018-05-03
朋乐假期,朋乐假期,70500.34,2018-05-03
九州风行,九州风行,47912.03,2018-05-03
五洲行,五洲行,45045.00,2018-05-03
南亚大自然,南亚大自然,29986.50,2018-05-03
寰宇风情,寰宇风情,21753.00,2018-05-03
东游国旅,东游国旅,19611.00,2018-05-03
畅享假期,畅享假期,16852.00,2018-05-03
全景旅游,全景旅游,291588.00,2018-05-04
奇幻九州,奇幻九州,90160.00,2018-05-04
皇家UNIWAY,皇家UNIWAY,82069.06,2018-05-04
朋乐假期,朋乐假期,70500.34,2018-05-04
九州风行,九州风行,59792.03,2018-05-04
五洲行,五洲行,45045.00,2018-05-04
寰宇风情,寰宇风情,35849.00,2018-05-04
南亚大自然,南亚大自然,29986.50,2018-05-04
东游国旅,东游国旅,19611.00,2018-05-04
湄公河之旅,湄公河之旅,18404.10,2018-05-04
全景旅游,全景旅游,335586.00,2018-05-05
奇幻九州,奇幻九州,125440.00,2018-05-05
皇家UNIWAY,皇家UNIWAY,86821.06,2018-05-05
