name,type,value,date
西二环营业部,西二环营业部,30000.00,2018-04-23
北京市第一营业部,北京市第一营业部,4560.00,2018-04-23
西二环营业部,西二环营业部,30000.00,2018-04-24
北京市第一营业部,北京市第一营业部,4560.00,2018-04-24
宣武门外营业部,宣武门外营业部,4299.00,2018-04-24
公主坟第一门市,公主坟第一门市,4173.00,2018-04-24
磁器口东门市部,磁器口东门市部,3597.00,2018-04-24
西二环营业部,西二环营业部,30000.00,2018-04-25
宣武门外营业部,宣武门外营业部,8472.00,2018-04-25
安定门门市部,安定门门市部,7555.00,2018-04-25
南城营业部,南城营业部,7260.00,2018-04-25
第一营业部,第一营业部,6520.00,2018-04-25
北京市第一营业部,北京市第一营业部,4560.00,2018-04-25
公主坟第一门市,公主坟第一门市,4173.00,2018-04-25
磁器口东门市部,磁器口东门市部,3597.00,2018-04-25
阜外营业部,阜外营业部,2398.00,2018-04-25
西二环营业部,西二环营业部,30000.00,2018-04-26
公主坟第一门市,公主坟第一门市,12124.00,2018-04-26
宣武门外营业部,宣武门外营业部,8472.00,2018-04-26
安定门门市部,安定门门市部,7555.00,2018-04-26
南城营业部,南城营业部,7260.00,2018-04-26
第一营业部,第一营业部,6520.00,2018-04-26
磁器口东门市部,磁器口东门市部,5795.00,2018-04-26
东城第一门市部,东城第一门市部,4900.00,2018-04-26
北京市第一营业部,北京市第一营业部,4560.00,2018-04-26
东直门门市部,东直门门市部,4173.00,2018-04-26
西二环营业部,西二环营业部,30000.00,2018-04-27
第一营业部,第一营业部,22490.00,2018-04-27
公主坟第一门市,公主坟第一门市,12124.00,2018-04-27
北苑营业部,北苑营业部,11928.00,2018-04-27
宣武门外营业部,宣武门外营业部,8472.00,2018-04-27
花市营业部,花市营业部,8118.00,2018-04-27
安定门门市部,安定门门市部,7555.00,2018-04-27
南城营业部,南城营业部,7260.00,2018-04-27
旅游接待部（原国内二部）,旅游接待部（原国内二部）,6520.80,2018-04-27
宣武营业部,宣武营业部,6117.00,2018-04-27
密云营业部,密云营业部,45392.00,2018-04-28
西二环营业部,西二环营业部,30000.00,2018-04-28
第一营业部,第一营业部,26990.00,2018-04-28
劲松营业部,劲松营业部,25881.00,2018-04-28
旅游接待部（原国内二部）,旅游接待部（原国内二部）,22477.80,2018-04-28
北京市第一营业部,北京市第一营业部,17267.01,2018-04-28
宣武门外营业部,宣武门外营业部,13572.00,2018-04-28
公主坟第一门市,公主坟第一门市,12124.00,2018-04-28
天坛营业部,天坛营业部,11989.00,2018-04-28
北苑营业部,北苑营业部,11928.00,2018-04-28
密云营业部,密云营业部,45392.00,2018-04-29
劲松营业部,劲松营业部,37527.02,2018-04-29
西二环营业部,西二环营业部,30000.00,2018-04-29
旅游接待部（原国内二部）,旅游接待部（原国内二部）,27225.64,2018-04-29
第一营业部,第一营业部,26990.00,2018-04-29
花市营业部,花市营业部,21598.00,2018-04-29
