name,type,value,date
乐享旅行,乐享旅行,4433.00,2018-04-23
乐享旅行,乐享旅行,4433.00,2018-04-24
山海边,山海边,15696.60,2018-04-25
乐享旅行,乐享旅行,4433.00,2018-04-25
山海边,山海边,15696.60,2018-04-26
自由天下,自由天下,5583.00,2018-04-26
芙蓉之旅,芙蓉之旅,4832.00,2018-04-26
乐享旅行,乐享旅行,4433.00,2018-04-26
下一站,下一站,4072.00,2018-04-26
众合全游,众合全游,1480.00,2018-04-26
山海边,山海边,31194.10,2018-04-27
恒信西部,恒信西部,6810.00,2018-04-27
自由天下,自由天下,5583.00,2018-04-27
芙蓉之旅,芙蓉之旅,4832.00,2018-04-27
乐享旅行,乐享旅行,4433.00,2018-04-27
下一站,下一站,4072.00,2018-04-27
九江假日,九江假日,2990.00,2018-04-27
众合全游,众合全游,1480.00,2018-04-27
悠悠旅游,悠悠旅游,44810.50,2018-04-28
山海边,山海边,35570.74,2018-04-28
西藏圣地,西藏圣地,18602.50,2018-04-28
恒信西部,恒信西部,6810.00,2018-04-28
海滨假期,海滨假期,6681.00,2018-04-28
自由天下,自由天下,5583.00,2018-04-28
天下荟,天下荟,5272.00,2018-04-28
客游天下,客游天下,5032.00,2018-04-28
芙蓉之旅,芙蓉之旅,4832.00,2018-04-28
乐享旅行,乐享旅行,4433.00,2018-04-28
山海边,山海边,56501.30,2018-04-29
悠悠旅游,悠悠旅游,44810.50,2018-04-29
西藏圣地,西藏圣地,18602.50,2018-04-29
巨仁旅游,巨仁旅游,8139.50,2018-04-29
全顺之旅,全顺之旅,6944.00,2018-04-29
恒信西部,恒信西部,6810.00,2018-04-29
海滨假期,海滨假期,6681.00,2018-04-29
自由天下,自由天下,5583.00,2018-04-29
天下荟,天下荟,5272.00,2018-04-29
客游天下,客游天下,5032.00,2018-04-29
山海边,山海边,57273.30,2018-04-30
悠悠旅游,悠悠旅游,44810.50,2018-04-30
西藏圣地,西藏圣地,18602.50,2018-04-30
众合全游,众合全游,9448.00,2018-04-30
全顺之旅,全顺之旅,9256.00,2018-04-30
巨仁旅游,巨仁旅游,8139.50,2018-04-30
下一站,下一站,7784.00,2018-04-30
恒信西部,恒信西部,6810.00,2018-04-30
海滨假期,海滨假期,6681.00,2018-04-30
自由天下,自由天下,5583.00,2018-04-30
山海边,山海边,68460.50,2018-05-01
悠悠旅游,悠悠旅游,44810.50,2018-05-01
西藏圣地,西藏圣地,18602.50,2018-05-01
众合全游,众合全游,9448.00,2018-05-01
全顺之旅,全顺之旅,9256.00,2018-05-01
新背客,新背客,8964.00,2018-05-01
天下荟,天下荟,8273.00,2018-05-01
巨仁旅游,巨仁旅游,8139.50,2018-05-01
下一站,下一站,7784.00,2018-05-01
恒信西部,恒信西部,6810.00,2018-05-01
山海边,山海边,69507.62,2018-05-02
悠悠旅游,悠悠旅游,44810.50,2018-05-02
西藏圣地,西藏圣地,18602.50,2018-05-02
全顺之旅,全顺之旅,13271.00,2018-05-02
金龙假期,金龙假期,11744.00,2018-05-02
中旭康颐,中旭康颐,9758.90,2018-05-02
众合全游,众合全游,9448.00,2018-05-02
新背客,新背客,8964.00,2018-05-02
天下荟,天下荟,8273.00,2018-05-02
巨仁旅游,巨仁旅游,8139.50,2018-05-02
悠悠旅游,悠悠旅游,96152.00,2018-05-03
山海边,山海边,69507.62,2018-05-03
芙蓉之旅,芙蓉之旅,22312.00,2018-05-03
天下荟,天下荟,21709.00,2018-05-03
西藏圣地,西藏圣地,18602.50,2018-05-03
自由天下,自由天下,17847.00,2018-05-03
全顺之旅,全顺之旅,13271.00,2018-05-03
新背客,新背客,12056.00,2018-05-03
金龙假期,金龙假期,11744.00,2018-05-03
中旭康颐,中旭康颐,9758.90,2018-05-03
悠悠旅游,悠悠旅游,96152.00,2018-05-04
山海边,山海边,75854.95,2018-05-04
全顺之旅,全顺之旅,39803.00,2018-05-04
志合假期,志合假期,22660.00,2018-05-04
芙蓉之旅,芙蓉之旅,22312.00,2018-05-04
天下荟,天下荟,21709.00,2018-05-04
金旅假期,金旅假期,19836.00,2018-05-04
西藏圣地,西藏圣地,18602.50,2018-05-04
众合全游,众合全游,17883.00,2018-05-04
自由天下,自由天下,17847.00,2018-05-04
山海边,山海边,106772.75,2018-05-05
悠悠旅游,悠悠旅游,96152.00,2018-05-05
天下荟,天下荟,64735.00,2018-05-05
全顺之旅,全顺之旅,42115.00,2018-05-05
自由天下,自由天下,36615.00,2018-05-05
众合全游,众合全游,27783.00,2018-05-05
芙蓉之旅,芙蓉之旅,27184.00,2018-05-05
西藏圣地,西藏圣地,25622.00,2018-05-05
志合假期,志合假期,22660.00,2018-05-05
金旅假期,金旅假期,19836.00,2018-05-05
山海边,山海边,121200.47,2018-05-06
悠悠旅游,悠悠旅游,96152.00,2018-05-06
天下荟,天下荟,69347.00,2018-05-06
全顺之旅,全顺之旅,42115.00,2018-05-06
芙蓉之旅,芙蓉之旅,37060.00,2018-05-06
自由天下,自由天下,36615.00,2018-05-06
众合全游,众合全游,27783.00,2018-05-06
西藏圣地,西藏圣地,25622.00,2018-05-06
金旅假期,金旅假期,24888.00,2018-05-06
志合假期,志合假期,22660.00,2018-05-06
山海边,山海边,134692.53,2018-05-07
悠悠旅游,悠悠旅游,96152.00,2018-05-07
天下荟,天下荟,69347.00,2018-05-07
全顺之旅,全顺之旅,51939.00,2018-05-07
芙蓉之旅,芙蓉之旅,37060.00,2018-05-07
自由天下,自由天下,36615.00,2018-05-07
众合全游,众合全游,27783.00,2018-05-07
西藏圣地,西藏圣地,25622.00,2018-05-07
金旅假期,金旅假期,24888.00,2018-05-07
志合假期,志合假期,22660.00,2018-05-07
山海边,山海边,191689.12,2018-05-08
悠悠旅游,悠悠旅游,96152.00,2018-05-08
天下荟,天下荟,69347.00,2018-05-08
全顺之旅,全顺之旅,53945.00,2018-05-08
芙蓉之旅,芙蓉之旅,39786.00,2018-05-08
自由天下,自由天下,36615.00,2018-05-08
金旅假期,金旅假期,33872.00,2018-05-08
黔贵假期,黔贵假期,33148.00,2018-05-08
众合全游,众合全游,30331.00,2018-05-08
西藏圣地,西藏圣地,25622.00,2018-05-08
山海边,山海边,204057.92,2018-05-09
悠悠旅游,悠悠旅游,96152.00,2018-05-09
天下荟,天下荟,73919.00,2018-05-09
全顺之旅,全顺之旅,56257.00,2018-05-09
芙蓉之旅,芙蓉之旅,39786.00,2018-05-09
自由天下,自由天下,36615.00,2018-05-09
金旅假期,金旅假期,33872.00,2018-05-09
黔贵假期,黔贵假期,33148.00,2018-05-09
巨仁旅游,巨仁旅游,30497.00,2018-05-09
众合全游,众合全游,30331.00,2018-05-09
山海边,山海边,260021.12,2018-05-10
西部旅游,西部旅游,146861.00,2018-05-10
悠悠旅游,悠悠旅游,96152.00,2018-05-10
天下荟,天下荟,73919.00,2018-05-10
人人游,人人游,68908.40,2018-05-10
巨仁旅游,巨仁旅游,65973.00,2018-05-10
全顺之旅,全顺之旅,56257.00,2018-05-10
芙蓉之旅,芙蓉之旅,39786.00,2018-05-10
众合全游,众合全游,38338.00,2018-05-10
自由天下,自由天下,36615.00,2018-05-10
山海边,山海边,261757.18,2018-05-11
西部旅游,西部旅游,146861.00,2018-05-11
悠悠旅游,悠悠旅游,96152.00,2018-05-11
人人游,人人游,85432.40,2018-05-11
天下荟,天下荟,79511.00,2018-05-11
巨仁旅游,巨仁旅游,65973.00,2018-05-11
芙蓉之旅,芙蓉之旅,64452.00,2018-05-11
全顺之旅,全顺之旅,56257.00,2018-05-11
众合全游,众合全游,38338.00,2018-05-11
自由天下,自由天下,36615.00,2018-05-11
山海边,山海边,277419.05,2018-05-12
西部旅游,西部旅游,174383.00,2018-05-12
悠悠旅游,悠悠旅游,144607.00,2018-05-12
人人游,人人游,85432.40,2018-05-12
天下荟,天下荟,79511.00,2018-05-12
全顺之旅,全顺之旅,68013.00,2018-05-12
巨仁旅游,巨仁旅游,65973.00,2018-05-12
芙蓉之旅,芙蓉之旅,64452.00,2018-05-12
众合全游,众合全游,52886.00,2018-05-12
湖贵天下,湖贵天下,39996.00,2018-05-12
山海边,山海边,283255.05,2018-05-13
西部旅游,西部旅游,174383.00,2018-05-13
悠悠旅游,悠悠旅游,144607.00,2018-05-13
人人游,人人游,85432.40,2018-05-13
天下荟,天下荟,85027.00,2018-05-13
巨仁旅游,巨仁旅游,70606.00,2018-05-13
全顺之旅,全顺之旅,68013.00,2018-05-13
芙蓉之旅,芙蓉之旅,64452.00,2018-05-13
众合全游,众合全游,52886.00,2018-05-13
湖贵天下,湖贵天下,39996.00,2018-05-13
山海边,山海边,321852.11,2018-05-14
西部旅游,西部旅游,174383.00,2018-05-14
悠悠旅游,悠悠旅游,144607.00,2018-05-14
天下荟,天下荟,85737.00,2018-05-14
人人游,人人游,85432.40,2018-05-14
巨仁旅游,巨仁旅游,75239.00,2018-05-14
全顺之旅,全顺之旅,68013.00,2018-05-14
芙蓉之旅,芙蓉之旅,64452.00,2018-05-14
众合全游,众合全游,53890.00,2018-05-14
湖贵天下,湖贵天下,45726.00,2018-05-14
山海边,山海边,373953.42,2018-05-15
西部旅游,西部旅游,174383.00,2018-05-15
悠悠旅游,悠悠旅游,144607.00,2018-05-15
天下荟,天下荟,88109.00,2018-05-15
人人游,人人游,85432.40,2018-05-15
巨仁旅游,巨仁旅游,80472.00,2018-05-15
芙蓉之旅,芙蓉之旅,71060.00,2018-05-15
全顺之旅,全顺之旅,68013.00,2018-05-15
众合全游,众合全游,56602.00,2018-05-15
湖贵天下,湖贵天下,45726.00,2018-05-15
山海边,山海边,384380.92,2018-05-16
西部旅游,西部旅游,174383.00,2018-05-16
悠悠旅游,悠悠旅游,144607.00,2018-05-16
天下荟,天下荟,105737.00,2018-05-16
黔贵假期,黔贵假期,99068.00,2018-05-16
人人游,人人游,85432.40,2018-05-16
巨仁旅游,巨仁旅游,80472.00,2018-05-16
全顺之旅,全顺之旅,73617.00,2018-05-16
芙蓉之旅,芙蓉之旅,71060.00,2018-05-16
